Customer ID,Age,agr_group,Gender,Item Purchased,Category,Purchase Amount (USD),Purchase Amount in INR,Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases
1,55,Middle-aged adults,Male,Blouse,Clothing,53,4495.99,Kentucky,L,Gray,Winter,3.1,Yes,Credit Card,Express,Yes,Yes,14,Venmo,Fortnightly
2,19,Young adults,Male,Sweater,Clothing,64,5429.12,Maine,L,Maroon,Winter,3.1,Yes,Bank Transfer,Express,Yes,Yes,2,Cash,Fortnightly
3,50,Middle-aged adults,Male,Jeans,Clothing,73,6192.59,Massachusetts,S,Maroon,Spring,3.1,Yes,Cash,Free Shipping,Yes,Yes,23,Credit Card,Weekly
4,21,Young adults,Male,Sandals,Footwear,90,7634.7,Rhode Island,M,Maroon,Spring,3.5,Yes,PayPal,Next Day Air,Yes,Yes,49,PayPal,Weekly
5,45,adults,Male,Blouse,Clothing,49,4156.67,Oregon,M,Turquoise,Spring,2.7,Yes,Cash,Free Shipping,Yes,Yes,31,PayPal,Annually
6,46,Middle-aged adults,Male,Sneakers,Footwear,20,1696.6,Wyoming,M,White,Summer,2.9,Yes,Venmo,Standard,Yes,Yes,14,Venmo,Weekly
7,63,Seniors ,Male,Shirt,Clothing,85,7210.55,Montana,M,Gray,Fall,3.2,Yes,Debit Card,Free Shipping,Yes,Yes,49,Cash,Quarterly
8,27,Young adults,Male,Shorts,Clothing,34,2884.22,Louisiana,L,Charcoal,Winter,3.2,Yes,Debit Card,Free Shipping,Yes,Yes,19,Credit Card,Weekly
9,26,Young adults,Male,Coat,Outerwear,97,8228.51,West Virginia,L,Silver,Summer,2.6,Yes,Venmo,Express,Yes,Yes,8,Venmo,Annually
10,57,Middle-aged adults,Male,Handbag,Accessories,31,2629.73,Missouri,M,Pink,Spring,4.8,Yes,PayPal,2-Day Shipping,Yes,Yes,4,Cash,Quarterly
11,53,Middle-aged adults,Male,Shoes,Footwear,34,2884.22,Arkansas,L,Purple,Fall,4.1,Yes,Credit Card,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly
12,30,Young adults,Male,Shorts,Clothing,68,5768.44,Hawaii,S,Olive,Winter,4.9,Yes,PayPal,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly
13,61,Seniors ,Male,Coat,Outerwear,72,6107.76,Delaware,M,Gold,Winter,4.5,Yes,PayPal,Express,Yes,Yes,37,Venmo,Fortnightly
14,65,Seniors ,Male,Dress,Clothing,51,4326.33,New Hampshire,M,Violet,Spring,4.7,Yes,Debit Card,Express,Yes,Yes,31,PayPal,Weekly
15,64,Seniors ,Male,Coat,Outerwear,53,4495.99,New York,L,Teal,Winter,4.7,Yes,PayPal,Free Shipping,Yes,Yes,34,Debit Card,Weekly
16,64,Seniors ,Male,Skirt,Clothing,81,6871.23,Rhode Island,M,Teal,Winter,2.8,Yes,Credit Card,Store Pickup,Yes,Yes,8,PayPal,Monthly
17,25,Young adults,Male,Sunglasses,Accessories,36,3053.88,Alabama,S,Gray,Spring,4.1,Yes,Venmo,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly
18,53,Middle-aged adults,Male,Dress,Clothing,38,3223.54,Mississippi,XL,Lavender,Winter,4.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly
19,52,Middle-aged adults,Male,Sweater,Clothing,48,4071.84,Montana,S,Black,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,17,Cash,Weekly
20,66,Seniors ,Male,Pants,Clothing,90,7634.7,Rhode Island,M,Green,Summer,3.3,Yes,Venmo,Standard,Yes,Yes,46,Debit Card,Bi-Weekly
21,21,Young adults,Male,Pants,Clothing,51,4326.33,Louisiana,M,Black,Winter,2.8,Yes,Credit Card,Express,Yes,Yes,50,Cash,Every 3 Months
22,31,adults,Male,Pants,Clothing,62,5259.46,North Carolina,M,Charcoal,Winter,4.1,Yes,Credit Card,Store Pickup,Yes,Yes,22,Debit Card,Quarterly
23,56,Middle-aged adults,Male,Pants,Clothing,37,3138.71,California,M,Peach,Summer,3.2,Yes,Cash,Store Pickup,Yes,Yes,32,Debit Card,Annually
24,31,adults,Male,Pants,Clothing,88,7465.04,Oklahoma,XL,White,Winter,4.4,Yes,Credit Card,Express,Yes,Yes,40,Credit Card,Weekly
25,18,children,Male,Jacket,Outerwear,22,1866.26,Florida,M,Green,Fall,2.9,Yes,Cash,Store Pickup,Yes,Yes,16,Debit Card,Weekly
26,18,children,Male,Hoodie,Clothing,25,2120.75,Texas,M,Silver,Summer,3.6,Yes,Bank Transfer,Express,Yes,Yes,14,PayPal,Annually
27,38,adults,Male,Jewelry,Accessories,20,1696.6,Nevada,M,Red,Spring,3.6,Yes,Cash,Next Day Air,Yes,Yes,13,Credit Card,Annually
28,56,Middle-aged adults,Male,Shorts,Clothing,56,4750.48,Kentucky,L,Cyan,Summer,5,Yes,Debit Card,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months
29,54,Middle-aged adults,Male,Handbag,Accessories,94,7974.02,North Carolina,M,Gray,Fall,4.4,Yes,Debit Card,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months
30,31,adults,Male,Dress,Clothing,48,4071.84,Wyoming,S,Black,Fall,4.1,Yes,Venmo,Store Pickup,Yes,Yes,14,Credit Card,Weekly
31,57,Middle-aged adults,Male,Jewelry,Accessories,31,2629.73,North Carolina,L,Black,Winter,4.7,Yes,Bank Transfer,Standard,Yes,Yes,16,Credit Card,Monthly
32,33,adults,Male,Dress,Clothing,79,6701.57,West Virginia,L,Brown,Winter,4.7,Yes,Venmo,Store Pickup,Yes,Yes,45,Venmo,Monthly
33,36,adults,Male,Jacket,Outerwear,67,5683.61,Kansas,M,Silver,Summer,4.9,Yes,Bank Transfer,Free Shipping,Yes,Yes,37,Venmo,Annually
34,54,Middle-aged adults,Male,Pants,Clothing,38,3223.54,Colorado,L,Green,Summer,3.3,Yes,Venmo,Store Pickup,Yes,Yes,45,Cash,Quarterly
35,36,adults,Male,T-shirt,Clothing,91,7719.53,North Dakota,L,Violet,Spring,4.6,Yes,Debit Card,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly
36,54,Middle-aged adults,Male,Blouse,Clothing,33,2799.39,Massachusetts,M,Cyan,Summer,4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly
37,35,adults,Male,T-shirt,Clothing,69,5853.27,Illinois,M,Maroon,Winter,4.6,Yes,Cash,Free Shipping,Yes,Yes,44,PayPal,Fortnightly
38,35,adults,Male,Jeans,Clothing,45,3817.35,Indiana,S,Cyan,Summer,2.8,Yes,Debit Card,Store Pickup,Yes,Yes,10,PayPal,Weekly
